"Blooket
Import Template",,,,,,,
179,"If llamas are NOT queens, then tulips are enigmatic.

What is the inverse?","If llamas are queens, then tulips are NOT enigmatic.","If tulips are NOT enigmatic, then llamas are NOT queens.","If tulips are NOT enigmatic, then llamas are queens.","If tulips are enigmatic, then llamas are NOT queens.",30,1
180,"If insects are NOT jealous, then elephants are NOT yellow.

What is the inverse?","If elephants are yellow, then insects are NOT jealous.","If elephants are yellow, then insects are jealous.","If elephants are NOT yellow, then insects are NOT jealous.","If insects are jealous, then elephants are yellow.",30,4
181,"If jaguars are furious, then bugs are curious.

What is the inverse?","If jaguars are NOT furious, then bugs are curious.","If jaguars are NOT furious, then bugs are NOT curious.","If bugs are NOT curious, then jaguars are NOT furious.","If bugs are curious, then jaguars are furious.",30,2
182,"If tulips are NOT xenophobic, then bugs are indigo.

What is the contrapositive?","If tulips are xenophobic, then bugs are NOT indigo.","If bugs are NOT indigo, then tulips are xenophobic.","If tulips are xenophobic, then bugs are indigo.","If bugs are indigo, then tulips are NOT xenophobic.",30,2
183,"If hawks are NOT violent, then cats are dangerous.

What is the converse?","If cats are NOT dangerous, then hawks are violent.","If cats are NOT dangerous, then hawks are NOT violent.","If cats are dangerous, then hawks are NOT violent.","If hawks are violent, then cats are NOT dangerous.",30,3
184,"If insects are awesome, then dogs are happy.

What is the inverse?","If dogs are happy, then insects are awesome.","If insects are NOT awesome, then dogs are NOT happy.","If dogs are NOT happy, then insects are NOT awesome.","If insects are awesome, then dogs are NOT happy.",30,2
185,"If narwhals are lame, then insects are nice.

What is the converse?","If narwhals are NOT lame, then insects are NOT nice.","If insects are NOT nice, then narwhals are NOT lame.","If insects are nice, then narwhals are lame.","If narwhals are lame, then insects are NOT nice.",30,3
186,"If cats are outgoing, then llamas are NOT violent.

What is the inverse?","If llamas are violent, then cats are outgoing.","If llamas are violent, then cats are NOT outgoing.","If llamas are NOT violent, then cats are outgoing.","If cats are NOT outgoing, then llamas are violent.",30,4
187,"If violins are happy, then umbrellas are NOT curious.

What is the contrapositive?","If umbrellas are NOT curious, then violins are happy.","If violins are NOT happy, then umbrellas are curious.","If violins are happy, then umbrellas are curious.","If umbrellas are curious, then violins are NOT happy.",30,4
188,"If ponies are NOT happy, then bugs are outgoing.

What is the inverse?","If bugs are NOT outgoing, then ponies are happy.","If bugs are outgoing, then ponies are NOT happy.","If ponies are happy, then bugs are NOT outgoing.","If ponies are NOT happy, then bugs are NOT outgoing.",30,3
189,"If llamas are umpires, then bugs are NOT killers.

What is the converse?","If bugs are NOT killers, then llamas are NOT umpires.","If bugs are NOT killers, then llamas are umpires.","If llamas are NOT umpires, then bugs are killers.","If bugs are killers, then llamas are NOT umpires.",30,2
190,"If narwhals are furious, then umbrellas are pious.

What is the inverse?","If narwhals are NOT furious, then umbrellas are NOT pious.","If narwhals are furious, then umbrellas are NOT pious.","If umbrellas are pious, then narwhals are furious.","If umbrellas are NOT pious, then narwhals are NOT furious.",30,1
191,"If flowers are NOT furious, then bugs are NOT dangerous.

What is the inverse?","If bugs are dangerous, then flowers are furious.","If flowers are furious, then bugs are dangerous.","If bugs are NOT dangerous, then flowers are NOT furious.","If flowers are NOT furious, then bugs are dangerous.",30,2
192,"If zebras are enigmatic, then narwhals are jealous.

What is the inverse?","If narwhals are jealous, then zebras are enigmatic.","If zebras are enigmatic, then narwhals are NOT jealous.","If narwhals are NOT jealous, then zebras are NOT enigmatic.","If zebras are NOT enigmatic, then narwhals are NOT jealous.",30,4
193,"If umbrellas are NOT indigo, then zebras are happy.

What is the inverse?","If zebras are NOT happy, then umbrellas are indigo.","If umbrellas are indigo, then zebras are NOT happy.","If umbrellas are indigo, then zebras are happy.","If zebras are happy, then umbrellas are NOT indigo.",30,2
194,"If ponies are NOT xenophobic, then tulips are NOT violent.

What is the contrapositive?","If tulips are NOT violent, then ponies are NOT xenophobic.","If tulips are violent, then ponies are xenophobic.","If ponies are xenophobic, then tulips are violent.","If tulips are NOT violent, then ponies are xenophobic.",30,2
195,"If hawks are NOT outgoing, then kangaroos are NOT umpires.

What is the contrapositive?","If hawks are outgoing, then kangaroos are umpires.","If hawks are NOT outgoing, then kangaroos are umpires.","If kangaroos are umpires, then hawks are outgoing.","If kangaroos are NOT umpires, then hawks are NOT outgoing.",30,3
196,"If quokkas are NOT dangerous, then jaguars are NOT indigo.

What is the converse?","If jaguars are NOT indigo, then quokkas are NOT dangerous.","If jaguars are indigo, then quokkas are dangerous.","If quokkas are dangerous, then jaguars are indigo.","If quokkas are NOT dangerous, then jaguars are indigo.",30,1
197,"If llamas are yellow, then insects are zombies.

What is the inverse?","If insects are NOT zombies, then llamas are yellow.","If insects are zombies, then llamas are yellow.","If insects are NOT zombies, then llamas are NOT yellow.","If llamas are NOT yellow, then insects are NOT zombies.",30,4
198,"If insects are NOT dangerous, then narwhals are green.

What is the inverse?","If insects are dangerous, then narwhals are NOT green.","If narwhals are green, then insects are NOT dangerous.","If insects are NOT dangerous, then narwhals are NOT green.","If narwhals are NOT green, then insects are dangerous.",30,1
199,"If giraffes are NOT nice, then dogs are NOT red.

What is the inverse?","If dogs are NOT red, then giraffes are NOT nice.","If giraffes are nice, then dogs are red.","If giraffes are NOT nice, then dogs are red.","If dogs are red, then giraffes are nice.",30,2
200,"If insects are NOT xenophobic, then owls are NOT indigo.

What is the inverse?","If owls are indigo, then insects are NOT xenophobic.","If owls are indigo, then insects are xenophobic.","If owls are NOT indigo, then insects are NOT xenophobic.","If insects are xenophobic, then owls are indigo.",30,4
201,"If insects are lame, then giraffes are NOT jealous.

What is the contrapositive?","If insects are lame, then giraffes are jealous.","If giraffes are jealous, then insects are NOT lame.","If giraffes are NOT jealous, then insects are lame.","If insects are NOT lame, then giraffes are jealous.",30,2
202,"If giraffes are jealous, then mice are green.

What is the converse?","If mice are NOT green, then giraffes are NOT jealous.","If giraffes are jealous, then mice are NOT green.","If mice are green, then giraffes are jealous.","If giraffes are NOT jealous, then mice are NOT green.",30,3
203,"If zebras are NOT awesome, then kangaroos are NOT xenophobic.

What is the converse?","If kangaroos are NOT xenophobic, then zebras are NOT awesome.","If zebras are NOT awesome, then kangaroos are xenophobic.","If zebras are awesome, then kangaroos are xenophobic.","If kangaroos are xenophobic, then zebras are awesome.",30,1
204,"If llamas are jealous, then narwhals are weak.

What is the converse?","If narwhals are NOT weak, then llamas are NOT jealous.","If narwhals are weak, then llamas are jealous.","If llamas are NOT jealous, then narwhals are NOT weak.","If narwhals are weak, then llamas are NOT jealous.",30,2
205,"If narwhals are NOT happy, then mice are outgoing.

What is the converse?","If narwhals are NOT happy, then mice are NOT outgoing.","If mice are NOT outgoing, then narwhals are happy.","If narwhals are happy, then mice are NOT outgoing.","If mice are outgoing, then narwhals are NOT happy.",30,4
206,"If ponies are NOT enigmatic, then llamas are NOT violent.

What is the inverse?","If ponies are enigmatic, then llamas are violent.","If ponies are NOT enigmatic, then llamas are violent.","If llamas are NOT violent, then ponies are NOT enigmatic.","If llamas are violent, then ponies are enigmatic.",30,1
207,"If cats are violent, then snakes are awesome.

What is the inverse?","If snakes are NOT awesome, then cats are NOT violent.","If cats are NOT violent, then snakes are awesome.","If cats are NOT violent, then snakes are NOT awesome.","If snakes are awesome, then cats are violent.",30,3
208,"If elephants are NOT menacing, then xylophones are NOT violent.

What is the contrapositive?","If xylophones are NOT violent, then elephants are menacing.","If xylophones are violent, then elephants are menacing.","If xylophones are NOT violent, then elephants are NOT menacing.","If elephants are menacing, then xylophones are violent.",30,2
209,"If narwhals are NOT enigmatic, then bugs are yellow.

What is the contrapositive?","If narwhals are NOT enigmatic, then bugs are NOT yellow.","If bugs are NOT yellow, then narwhals are enigmatic.","If narwhals are enigmatic, then bugs are NOT yellow.","If bugs are yellow, then narwhals are NOT enigmatic.",30,2
210,"If kangaroos are NOT transient, then owls are red.

What is the converse?","If owls are NOT red, then kangaroos are transient.","If kangaroos are transient, then owls are NOT red.","If owls are red, then kangaroos are transient.","If owls are red, then kangaroos are NOT transient.",30,4
211,"If umbrellas are NOT nice, then mice are NOT awesome.

What is the contrapositive?","If umbrellas are nice, then mice are NOT awesome.","If umbrellas are nice, then mice are awesome.","If mice are NOT awesome, then umbrellas are NOT nice.","If mice are awesome, then umbrellas are nice.",30,4
212,"If elephants are pious, then mice are NOT curious.

What is the inverse?","If elephants are NOT pious, then mice are curious.","If mice are curious, then elephants are NOT pious.","If elephants are NOT pious, then mice are NOT curious.","If mice are NOT curious, then elephants are pious.",30,1
213,"If giraffes are transient, then narwhals are NOT violent.

What is the converse?","If narwhals are NOT violent, then giraffes are NOT transient.","If narwhals are NOT violent, then giraffes are transient.","If giraffes are NOT transient, then narwhals are violent.","If narwhals are violent, then giraffes are NOT transient.",30,2
214,"If jaguars are dangerous, then elephants are NOT violent.

What is the converse?","If elephants are violent, then jaguars are NOT dangerous.","If elephants are NOT violent, then jaguars are dangerous.","If jaguars are dangerous, then elephants are violent.","If jaguars are NOT dangerous, then elephants are violent.",30,2
215,"If snakes are outgoing, then violins are NOT awesome.

What is the converse?","If violins are NOT awesome, then snakes are outgoing.","If violins are awesome, then snakes are outgoing.","If snakes are NOT outgoing, then violins are awesome.","If violins are awesome, then snakes are NOT outgoing.",30,1
216,"If bugs are NOT awesome, then dogs are zombies.

What is the contrapositive?","If dogs are zombies, then bugs are awesome.","If dogs are zombies, then bugs are NOT awesome.","If dogs are NOT zombies, then bugs are awesome.","If bugs are awesome, then dogs are NOT zombies.",30,3
217,"If elephants are NOT menacing, then owls are happy.

What is the inverse?","If owls are NOT happy, then elephants are menacing.","If elephants are menacing, then owls are happy.","If elephants are menacing, then owls are NOT happy.","If owls are happy, then elephants are NOT menacing.",30,3
218,"If elephants are NOT umpires, then llamas are red.

What is the inverse?","If llamas are red, then elephants are umpires.","If llamas are NOT red, then elephants are umpires.","If elephants are umpires, then llamas are NOT red.","If llamas are red, then elephants are NOT umpires.",30,3
219,"If cats are NOT nice, then zebras are NOT jealous.

What is the converse?","If zebras are NOT jealous, then cats are nice.","If zebras are jealous, then cats are nice.","If cats are nice, then zebras are jealous.","If zebras are NOT jealous, then cats are NOT nice.",30,4
220,"If whales are NOT red, then zebras are blue.

What is the converse?","If whales are red, then zebras are NOT blue.","If zebras are blue, then whales are NOT red.","If zebras are NOT blue, then whales are red.","If whales are red, then zebras are blue.",30,2
221,"If owls are NOT dangerous, then mice are NOT outgoing.

What is the inverse?","If mice are outgoing, then owls are NOT dangerous.","If owls are dangerous, then mice are outgoing.","If mice are NOT outgoing, then owls are NOT dangerous.","If mice are outgoing, then owls are dangerous.",30,2
222,"If insects are weak, then zebras are NOT xenophobic.

What is the inverse?","If insects are NOT weak, then zebras are xenophobic.","If zebras are xenophobic, then insects are NOT weak.","If zebras are NOT xenophobic, then insects are weak.","If zebras are xenophobic, then insects are weak.",30,1
223,"If llamas are pious, then ponies are blue.

What is the converse?","If llamas are NOT pious, then ponies are NOT blue.","If ponies are blue, then llamas are pious.","If ponies are NOT blue, then llamas are NOT pious.","If llamas are pious, then ponies are NOT blue.",30,2
224,"If elephants are NOT yellow, then giraffes are transient.

What is the converse?","If elephants are yellow, then giraffes are NOT transient.","If giraffes are NOT transient, then elephants are yellow.","If elephants are NOT yellow, then giraffes are NOT transient.","If giraffes are transient, then elephants are NOT yellow.",30,4
225,"If cats are NOT sly, then tulips are NOT happy.

What is the inverse?","If tulips are happy, then cats are sly.","If tulips are NOT happy, then cats are NOT sly.","If tulips are NOT happy, then cats are sly.","If cats are sly, then tulips are happy.",30,4
226,"If elephants are killers, then kangaroos are NOT jealous.

What is the inverse?","If kangaroos are jealous, then elephants are NOT killers.","If elephants are NOT killers, then kangaroos are jealous.","If kangaroos are NOT jealous, then elephants are NOT killers.","If kangaroos are NOT jealous, then elephants are killers.",30,2
227,"If umbrellas are NOT blue, then violins are awesome.

What is the inverse?","If violins are awesome, then umbrellas are NOT blue.","If umbrellas are blue, then violins are NOT awesome.","If umbrellas are NOT blue, then violins are NOT awesome.","If violins are NOT awesome, then umbrellas are blue.",30,2
228,"If apples are NOT sly, then umbrellas are NOT zombies.

What is the contrapositive?","If umbrellas are zombies, then apples are sly.","If umbrellas are NOT zombies, then apples are NOT sly.","If apples are sly, then umbrellas are zombies.","If umbrellas are zombies, then apples are NOT sly.",30,1
229,"If tulips are NOT outgoing, then kangaroos are NOT xenophobic.

What is the contrapositive?","If kangaroos are NOT xenophobic, then tulips are NOT outgoing.","If tulips are outgoing, then kangaroos are xenophobic.","If kangaroos are xenophobic, then tulips are outgoing.","If kangaroos are NOT xenophobic, then tulips are outgoing.",30,3
230,"If apples are green, then whales are NOT menacing.

What is the contrapositive?","If whales are menacing, then apples are NOT green.","If apples are NOT green, then whales are menacing.","If whales are NOT menacing, then apples are green.","If whales are NOT menacing, then apples are NOT green.",30,1
231,"If kangaroos are NOT yellow, then tulips are NOT transient.

What is the converse?","If tulips are NOT transient, then kangaroos are NOT yellow.","If tulips are transient, then kangaroos are yellow.","If kangaroos are NOT yellow, then tulips are transient.","If kangaroos are yellow, then tulips are transient.",30,1
232,"If umbrellas are enigmatic, then flowers are NOT blue.

What is the converse?","If flowers are blue, then umbrellas are NOT enigmatic.","If umbrellas are enigmatic, then flowers are blue.","If flowers are NOT blue, then umbrellas are enigmatic.","If umbrellas are NOT enigmatic, then flowers are blue.",30,3
233,"If quokkas are queens, then tulips are transient.

What is the contrapositive?","If tulips are transient, then quokkas are NOT queens.","If tulips are transient, then quokkas are queens.","If quokkas are NOT queens, then tulips are NOT transient.","If tulips are NOT transient, then quokkas are NOT queens.",30,4
234,"If tulips are indigo, then kangaroos are NOT red.

What is the contrapositive?","If tulips are NOT indigo, then kangaroos are red.","If kangaroos are red, then tulips are NOT indigo.","If kangaroos are NOT red, then tulips are indigo.","If tulips are indigo, then kangaroos are red.",30,2
235,"If apples are jealous, then quokkas are menacing.

What is the inverse?","If quokkas are menacing, then apples are jealous.","If quokkas are NOT menacing, then apples are jealous.","If apples are NOT jealous, then quokkas are NOT menacing.","If quokkas are NOT menacing, then apples are NOT jealous.",30,3
236,"If kangaroos are yellow, then llamas are green.

What is the converse?","If kangaroos are yellow, then llamas are NOT green.","If kangaroos are NOT yellow, then llamas are NOT green.","If llamas are green, then kangaroos are yellow.","If llamas are NOT green, then kangaroos are NOT yellow.",30,3
237,"If apples are NOT awesome, then giraffes are NOT red.

What is the converse?","If giraffes are red, then apples are awesome.","If apples are awesome, then giraffes are NOT red.","If apples are awesome, then giraffes are red.","If giraffes are NOT red, then apples are NOT awesome.",30,4
238,"If whales are NOT violent, then llamas are NOT indigo.

What is the converse?","If llamas are NOT indigo, then whales are violent.","If llamas are NOT indigo, then whales are NOT violent.","If whales are violent, then llamas are indigo.","If llamas are indigo, then whales are violent.",30,2
239,"If whales are jealous, then cats are NOT dangerous.

What is the inverse?","If whales are NOT jealous, then cats are dangerous.","If cats are NOT dangerous, then whales are NOT jealous.","If cats are NOT dangerous, then whales are jealous.","If cats are dangerous, then whales are NOT jealous.",30,1
240,"If tulips are outgoing, then snakes are NOT curious.

What is the converse?","If snakes are NOT curious, then tulips are outgoing.","If snakes are curious, then tulips are NOT outgoing.","If tulips are NOT outgoing, then snakes are curious.","If tulips are outgoing, then snakes are curious.",30,1
241,"If quokkas are NOT zombies, then whales are NOT indigo.

What is the inverse?","If whales are indigo, then quokkas are zombies.","If quokkas are zombies, then whales are indigo.","If whales are NOT indigo, then quokkas are NOT zombies.","If quokkas are NOT zombies, then whales are indigo.",30,2
242,"If elephants are NOT dangerous, then violins are blue.

What is the converse?","If elephants are dangerous, then violins are NOT blue.","If violins are blue, then elephants are NOT dangerous.","If violins are NOT blue, then elephants are dangerous.","If violins are NOT blue, then elephants are NOT dangerous.",30,2
243,"If tulips are NOT weak, then giraffes are NOT pious.

What is the converse?","If giraffes are NOT pious, then tulips are NOT weak.","If giraffes are pious, then tulips are NOT weak.","If tulips are weak, then giraffes are pious.","If giraffes are pious, then tulips are weak.",30,1
244,"If owls are transient, then ponies are NOT awesome.

What is the contrapositive?","If ponies are awesome, then owls are NOT transient.","If owls are transient, then ponies are awesome.","If ponies are NOT awesome, then owls are transient.","If owls are NOT transient, then ponies are awesome.",30,1
245,"If flowers are NOT enigmatic, then kangaroos are curious.

What is the converse?","If kangaroos are NOT curious, then flowers are enigmatic.","If flowers are enigmatic, then kangaroos are NOT curious.","If kangaroos are curious, then flowers are NOT enigmatic.","If flowers are NOT enigmatic, then kangaroos are NOT curious.",30,3
246,"If whales are NOT indigo, then violins are NOT xenophobic.

What is the converse?","If violins are NOT xenophobic, then whales are NOT indigo.","If violins are NOT xenophobic, then whales are indigo.","If whales are indigo, then violins are xenophobic.","If violins are xenophobic, then whales are indigo.",30,1
247,"If narwhals are NOT green, then giraffes are NOT dangerous.

What is the inverse?","If giraffes are dangerous, then narwhals are NOT green.","If giraffes are dangerous, then narwhals are green.","If giraffes are NOT dangerous, then narwhals are NOT green.","If narwhals are green, then giraffes are dangerous.",30,4
248,"If tulips are outgoing, then llamas are NOT queens.

What is the contrapositive?","If llamas are queens, then tulips are NOT outgoing.","If tulips are NOT outgoing, then llamas are queens.","If llamas are NOT queens, then tulips are outgoing.","If llamas are NOT queens, then tulips are NOT outgoing.",30,1
249,"If apples are weak, then xylophones are happy.

What is the inverse?","If xylophones are happy, then apples are weak.","If apples are NOT weak, then xylophones are NOT happy.","If apples are NOT weak, then xylophones are happy.","If xylophones are NOT happy, then apples are NOT weak.",30,2
250,"If snakes are NOT blue, then violins are NOT lame.

What is the contrapositive?","If snakes are blue, then violins are lame.","If violins are NOT lame, then snakes are NOT blue.","If snakes are blue, then violins are NOT lame.","If violins are lame, then snakes are blue.",30,4
251,"If cats are enigmatic, then violins are NOT blue.

What is the converse?","If cats are NOT enigmatic, then violins are NOT blue.","If cats are NOT enigmatic, then violins are blue.","If violins are blue, then cats are NOT enigmatic.","If violins are NOT blue, then cats are enigmatic.",30,4
252,"If xylophones are outgoing, then cats are pious.

What is the contrapositive?","If xylophones are outgoing, then cats are NOT pious.","If cats are NOT pious, then xylophones are NOT outgoing.","If cats are pious, then xylophones are outgoing.","If xylophones are NOT outgoing, then cats are NOT pious.",30,2
253,"If bugs are red, then tulips are blue.

What is the converse?","If tulips are blue, then bugs are red.","If tulips are NOT blue, then bugs are red.","If bugs are NOT red, then tulips are NOT blue.","If tulips are NOT blue, then bugs are NOT red.",30,1
254,"If cats are NOT weak, then tulips are NOT yellow.

What is the inverse?","If tulips are yellow, then cats are weak.","If cats are NOT weak, then tulips are yellow.","If cats are weak, then tulips are yellow.","If tulips are NOT yellow, then cats are NOT weak.",30,3
255,"If flowers are indigo, then owls are yellow.

What is the inverse?","If owls are yellow, then flowers are NOT indigo.","If owls are yellow, then flowers are indigo.","If owls are NOT yellow, then flowers are NOT indigo.","If flowers are NOT indigo, then owls are NOT yellow.",30,4
256,"If zebras are killers, then tulips are NOT lame.

What is the converse?","If tulips are NOT lame, then zebras are killers.","If zebras are NOT killers, then tulips are lame.","If tulips are lame, then zebras are NOT killers.","If zebras are NOT killers, then tulips are NOT lame.",30,1
257,"If flowers are NOT transient, then giraffes are NOT blue.

What is the contrapositive?","If flowers are transient, then giraffes are blue.","If giraffes are NOT blue, then flowers are transient.","If giraffes are blue, then flowers are transient.","If giraffes are NOT blue, then flowers are NOT transient.",30,3
258,"If flowers are pious, then quokkas are NOT zombies.

What is the inverse?","If quokkas are NOT zombies, then flowers are pious.","If flowers are pious, then quokkas are zombies.","If quokkas are zombies, then flowers are NOT pious.","If flowers are NOT pious, then quokkas are zombies.",30,4
259,"If zebras are NOT zombies, then owls are killers.

What is the inverse?","If zebras are zombies, then owls are killers.","If owls are killers, then zebras are NOT zombies.","If zebras are zombies, then owls are NOT killers.","If owls are NOT killers, then zebras are zombies.",30,3
260,"If giraffes are outgoing, then owls are NOT nice.

What is the converse?","If owls are nice, then giraffes are outgoing.","If owls are nice, then giraffes are NOT outgoing.","If owls are NOT nice, then giraffes are outgoing.","If giraffes are NOT outgoing, then owls are nice.",30,3
261,"If narwhals are NOT yellow, then snakes are NOT awesome.

What is the inverse?","If snakes are NOT awesome, then narwhals are yellow.","If narwhals are yellow, then snakes are awesome.","If snakes are awesome, then narwhals are yellow.","If snakes are NOT awesome, then narwhals are NOT yellow.",30,2
262,"If jaguars are sly, then bugs are transient.

What is the converse?","If bugs are NOT transient, then jaguars are NOT sly.","If bugs are transient, then jaguars are sly.","If jaguars are NOT sly, then bugs are NOT transient.","If bugs are NOT transient, then jaguars are sly.",30,2
263,"If cats are NOT violent, then narwhals are NOT dangerous.

What is the contrapositive?","If narwhals are dangerous, then cats are NOT violent.","If narwhals are dangerous, then cats are violent.","If narwhals are NOT dangerous, then cats are NOT violent.","If cats are violent, then narwhals are dangerous.",30,2
264,"If ponies are NOT dangerous, then zebras are transient.

What is the converse?","If zebras are NOT transient, then ponies are NOT dangerous.","If ponies are dangerous, then zebras are NOT transient.","If zebras are transient, then ponies are NOT dangerous.","If zebras are NOT transient, then ponies are dangerous.",30,3
265,"If bugs are violent, then violins are NOT queens.

What is the inverse?","If violins are NOT queens, then bugs are violent.","If violins are queens, then bugs are NOT violent.","If bugs are NOT violent, then violins are queens.","If violins are queens, then bugs are violent.",30,3
266,"If owls are NOT xenophobic, then zebras are NOT furious.

What is the contrapositive?","If owls are xenophobic, then zebras are furious.","If zebras are furious, then owls are xenophobic.","If zebras are NOT furious, then owls are NOT xenophobic.","If zebras are NOT furious, then owls are xenophobic.",30,2
267,"If tulips are nice, then quokkas are NOT sly.

What is the inverse?","If quokkas are sly, then tulips are nice.","If quokkas are sly, then tulips are NOT nice.","If tulips are NOT nice, then quokkas are sly.","If quokkas are NOT sly, then tulips are nice.",30,3
268,"If xylophones are queens, then ponies are dangerous.

What is the inverse?","If xylophones are NOT queens, then ponies are dangerous.","If ponies are NOT dangerous, then xylophones are NOT queens.","If ponies are dangerous, then xylophones are queens.","If xylophones are NOT queens, then ponies are NOT dangerous.",30,4
269,"If hawks are lame, then mice are NOT killers.

What is the inverse?","If hawks are NOT lame, then mice are killers.","If mice are NOT killers, then hawks are lame.","If hawks are NOT lame, then mice are NOT killers.","If mice are killers, then hawks are NOT lame.",30,1
270,"If bugs are lame, then narwhals are green.

What is the inverse?","If bugs are NOT lame, then narwhals are NOT green.","If narwhals are NOT green, then bugs are lame.","If narwhals are NOT green, then bugs are NOT lame.","If narwhals are green, then bugs are lame.",30,1
271,"If giraffes are NOT blue, then quokkas are furious.

What is the inverse?","If giraffes are blue, then quokkas are NOT furious.","If quokkas are NOT furious, then giraffes are blue.","If giraffes are blue, then quokkas are furious.","If quokkas are furious, then giraffes are NOT blue.",30,1
272,"If elephants are transient, then xylophones are NOT red.

What is the inverse?","If xylophones are NOT red, then elephants are transient.","If elephants are transient, then xylophones are red.","If xylophones are red, then elephants are NOT transient.","If elephants are NOT transient, then xylophones are red.",30,4
273,"If llamas are NOT enigmatic, then mice are NOT menacing.

What is the converse?","If llamas are enigmatic, then mice are menacing.","If mice are NOT menacing, then llamas are NOT enigmatic.","If llamas are NOT enigmatic, then mice are menacing.","If mice are menacing, then llamas are enigmatic.",30,2
274,"If ponies are NOT indigo, then elephants are NOT xenophobic.

What is the contrapositive?","If ponies are indigo, then elephants are xenophobic.","If elephants are xenophobic, then ponies are indigo.","If ponies are indigo, then elephants are NOT xenophobic.","If elephants are NOT xenophobic, then ponies are NOT indigo.",30,2
275,"If whales are queens, then apples are yellow.

What is the contrapositive?","If apples are NOT yellow, then whales are NOT queens.","If apples are yellow, then whales are queens.","If whales are NOT queens, then apples are NOT yellow.","If apples are NOT yellow, then whales are queens.",30,1
276,"If hawks are sly, then snakes are xenophobic.

What is the contrapositive?","If hawks are NOT sly, then snakes are xenophobic.","If snakes are NOT xenophobic, then hawks are NOT sly.","If hawks are NOT sly, then snakes are NOT xenophobic.","If snakes are xenophobic, then hawks are sly.",30,2
277,"If kangaroos are yellow, then hawks are xenophobic.

What is the inverse?","If kangaroos are yellow, then hawks are NOT xenophobic.","If hawks are NOT xenophobic, then kangaroos are NOT yellow.","If hawks are xenophobic, then kangaroos are yellow.","If kangaroos are NOT yellow, then hawks are NOT xenophobic.",30,4
278,"If giraffes are NOT red, then hawks are jealous.

What is the inverse?","If hawks are NOT jealous, then giraffes are red.","If giraffes are red, then hawks are jealous.","If hawks are jealous, then giraffes are NOT red.","If giraffes are red, then hawks are NOT jealous.",30,4
279,"If jaguars are queens, then flowers are NOT indigo.

What is the inverse?","If jaguars are NOT queens, then flowers are indigo.","If flowers are NOT indigo, then jaguars are queens.","If flowers are indigo, then jaguars are NOT queens.","If flowers are NOT indigo, then jaguars are NOT queens.",30,1
280,"If apples are furious, then elephants are blue.

What is the inverse?","If apples are NOT furious, then elephants are blue.","If elephants are blue, then apples are furious.","If elephants are NOT blue, then apples are NOT furious.","If apples are NOT furious, then elephants are NOT blue.",30,4
281,"If mice are violent, then giraffes are NOT red.

What is the converse?","If giraffes are NOT red, then mice are violent.","If giraffes are red, then mice are NOT violent.","If mice are NOT violent, then giraffes are red.","If mice are violent, then giraffes are red.",30,1
282,"If owls are pious, then apples are NOT red.

What is the contrapositive?","If owls are NOT pious, then apples are red.","If apples are red, then owls are NOT pious.","If apples are NOT red, then owls are NOT pious.","If apples are NOT red, then owls are pious.",30,2
283,"If violins are NOT red, then quokkas are green.

What is the converse?","If violins are NOT red, then quokkas are NOT green.","If violins are red, then quokkas are NOT green.","If quokkas are NOT green, then violins are red.","If quokkas are green, then violins are NOT red.",30,4
284,"If apples are NOT outgoing, then hawks are NOT enigmatic.

What is the inverse?","If apples are outgoing, then hawks are enigmatic.","If hawks are enigmatic, then apples are outgoing.","If hawks are NOT enigmatic, then apples are NOT outgoing.","If hawks are NOT enigmatic, then apples are outgoing.",30,1
285,"If whales are curious, then llamas are enigmatic.

What is the converse?","If llamas are NOT enigmatic, then whales are NOT curious.","If llamas are enigmatic, then whales are curious.","If whales are NOT curious, then llamas are enigmatic.","If whales are NOT curious, then llamas are NOT enigmatic.",30,2
286,"If flowers are jealous, then bugs are NOT killers.

What is the converse?","If bugs are NOT killers, then flowers are jealous.","If flowers are NOT jealous, then bugs are killers.","If bugs are killers, then flowers are NOT jealous.","If bugs are NOT killers, then flowers are NOT jealous.",30,1
287,"If quokkas are NOT curious, then insects are NOT violent.

What is the inverse?","If insects are NOT violent, then quokkas are NOT curious.","If quokkas are NOT curious, then insects are violent.","If quokkas are curious, then insects are violent.","If insects are violent, then quokkas are curious.",30,3
288,"If mice are menacing, then xylophones are curious.

What is the contrapositive?","If xylophones are NOT curious, then mice are NOT menacing.","If mice are NOT menacing, then xylophones are NOT curious.","If xylophones are NOT curious, then mice are menacing.","If xylophones are curious, then mice are menacing.",30,1
289,"If snakes are yellow, then elephants are NOT umpires.

What is the converse?","If elephants are NOT umpires, then snakes are yellow.","If elephants are NOT umpires, then snakes are NOT yellow.","If elephants are umpires, then snakes are NOT yellow.","If snakes are NOT yellow, then elephants are umpires.",30,1
290,"If ponies are NOT outgoing, then snakes are NOT pious.

What is the inverse?","If snakes are NOT pious, then ponies are NOT outgoing.","If ponies are outgoing, then snakes are pious.","If snakes are NOT pious, then ponies are outgoing.","If snakes are pious, then ponies are outgoing.",30,2
291,"If owls are NOT jealous, then elephants are NOT menacing.

What is the inverse?","If owls are jealous, then elephants are menacing.","If elephants are NOT menacing, then owls are NOT jealous.","If elephants are menacing, then owls are jealous.","If owls are jealous, then elephants are NOT menacing.",30,1
292,"If whales are NOT weak, then owls are NOT violent.

What is the contrapositive?","If whales are weak, then owls are violent.","If owls are NOT violent, then whales are NOT weak.","If owls are violent, then whales are weak.","If owls are violent, then whales are NOT weak.",30,3
